symbol,name,exchange,yahoo_symbol,kite_symbol,upstox_instrument_key,sector,industry,base_price,enabled
APLLTD,ALEMBIC PHARMA LTD,NSE,APLLTD.NS,NSE:APLLTD,NSE_EQ|INE901L01018,,,100.0,1
APOLLO,APOLLO MICRO SYSTEMS LTD,NSE,APOLLO.NS,NSE:APOLLO,NSE_EQ|INE713T01028,,,100.0,1
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,NSE,APOLLOHOSP.NS,NSE:APOLLOHOSP,NSE_EQ|INE437A01024,,,100.0,1
APOLLOPIPE,APOLLO PIPES LIMITED,NSE,APOLLOPIPE.NS,NSE:APOLLOPIPE,NSE_EQ|INE126J01016,,,100.0,1
APOLLOTYRE,APOLLO TYRES LTD,NSE,APOLLOTYRE.NS,NSE:APOLLOTYRE,NSE_EQ|INE438A01022,,,100.0,1
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,NSE,APOLSINHOT.NS,NSE:APOLSINHOT,NSE_EQ|INE451F01024,,,100.0,1
APTECHT,APTECH LIMITED,NSE,APTECHT.NS,NSE:APTECHT,NSE_EQ|INE266F01018,,,100.0,1
APTUS,APTUS VALUE HSG FIN I LTD,NSE,APTUS.NS,NSE:APTUS,NSE_EQ|INE852O01025,,,100.0,1
AQYLON,AQYLON NEXUS LIMITED,NSE,AQYLON.NS,NSE:AQYLON,NSE_EQ|INE416A01051,,,100.0,1
ARCHIDPLY,ARCHIDPLY IND. LTD,NSE,ARCHIDPLY.NS,NSE:ARCHIDPLY,NSE_EQ|INE877I01016,,,100.0,1
ARCHIES,ARCHIES LTD,NSE,ARCHIES.NS,NSE:ARCHIES,NSE_EQ|INE731A01020,,,100.0,1
ARE&M,AMARA RAJA ENERGY MOB LTD,NSE,ARE&M.NS,NSE:ARE&M,NSE_EQ|INE885A01032,,,100.0,1
ARENTERP,RAJDARSHAN INDUSTRIES LTD,NSE,ARENTERP.NS,NSE:ARENTERP,NSE_EQ|INE610C01014,,,100.0,1
ARFIN,ARFIN INDIA LIMITED,NSE,ARFIN.NS,NSE:ARFIN,NSE_EQ|INE784R01023,,,100.0,1
ARIES,ARIES AGRO LTD.,NSE,ARIES.NS,NSE:ARIES,NSE_EQ|INE298I01015,,,100.0,1
ARIHANT,ARIHANT FOUN & HOU LTD,NSE,ARIHANT.NS,NSE:ARIHANT,NSE_EQ|INE413D01011,,,100.0,1
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,NSE,ARIHANTCAP.NS,NSE:ARIHANTCAP,NSE_EQ|INE420B01036,,,100.0,1
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,NSE,ARIHANTSUP.NS,NSE:ARIHANTSUP,NSE_EQ|INE643K01018,,,100.0,1
ARIS,ARISINFRA SOLUTIONS LTD,NSE,ARIS.NS,NSE:ARIS,NSE_EQ|INE0H9P01028,,,100.0,1
ARKADE,ARKADE DEVELOPERS LIMITED,NSE,ARKADE.NS,NSE:ARKADE,NSE_EQ|INE0QRL01017,,,100.0,1
ARMANFIN,ARMAN FIN SERV LTD,NSE,ARMANFIN.NS,NSE:ARMANFIN,NSE_EQ|INE109C01017,,,100.0,1
AROGRANITE,ARO GRANITE IND. LTD.,NSE,AROGRANITE.NS,NSE:AROGRANITE,NSE_EQ|INE210C01013,,,100.0,1
ARROWGREEN,ARROW GREENTECH LIMITED,NSE,ARROWGREEN.NS,NSE:ARROWGREEN,NSE_EQ|INE570D01018,,,100.0,1
